Gross Margin,FB-MM,FB-FC,FB-ATESC,FB-ACD,FB-EXP,FB-FP,FB-PE,Gender,Age,Edu,Area,Training,T-Age,Identity,Farm Cooperative
0.835714286,0,0,0,0,0,1,1,1,40,12,7.5,0,10,0,1
0.883333333,0,0,0,1,1,1,0,0,40,9,2.5,0,10,1,0
0.75,0,0,0,1,0,1,0,0,58,12,2.5,0,10,1,0
0.755,0,0,0,1,1,0,0,1,59,12,2.5,0,10,1,0
0.81875,0,0,0,1,0,1,0,0,65,9,2.5,0,10,1,0
0.745,0,0,1,1,0,1,1,0,52,12,7.5,1,10,0,0
0.896666667,0,0,0,1,1,0,1,1,40,12,7.5,0,10,1,1
0.845,0,0,0,1,0,0,0,0,38,9,7.5,0,10,1,0
0.755,0,0,0,1,0,1,1,0,55,12,7.5,0,10,0,0
0.745,0,0,0,0,0,1,1,1,54,9,7.5,0,10,0,0
0.90625,0,0,1,0,1,1,0,0,37,9,2.5,1,10,1,0
0.375,0,0,0,1,0,0,0,0,55,15,2.5,0,10,1,0
0.745,0,0,0,1,0,1,1,0,59,12,2.5,1,10,0,1
0.745,0,0,0,1,0,0,1,0,56,9,7.5,0,10,1,0
0.764285714,0,0,0,0,1,0,0,1,26,9,25,1,4.5,0,1
0.745,0,0,0,1,0,1,1,0,56,9,7.5,0,10,1,0
0.65,0,0,0,0,0,0,1,0,40,9,7.5,0,10,1,1
0.09375,0,0,0,0,0,0,1,0,36,9,2.5,1,10,1,0
0.583333333,0,0,0,0,1,0,0,0,36,6,7.5,0,10,1,0
0.875,0,0,1,1,1,0,0,0,43,9,7.5,0,10,1,0
0.325,0,0,0,0,0,1,1,0,38,9,15,0,10,0,0
0.55,0,0,0,1,1,0,0,1,39,12,15,1,10,1,1
0.83,0,0,1,0,0,0,1,1,27,9,75,1,10,1,0
0.475,0,0,0,0,0,0,1,0,39,9,7.5,0,10,0,0
0.375,0,0,0,1,0,0,1,1,57,12,2.5,0,10,1,0
0.525,0,0,1,0,0,0,0,1,50,6,350,1,4.5,1,1
0.677777778,0,1,0,0,0,1,0,1,35,9,7.5,0,7.5,1,0
0.6625,0,0,0,0,0,1,1,0,40,6,7.5,0,7.5,0,0
0.935,0,0,0,0,0,1,0,0,34,9,7.5,1,10,1,0
0.84375,0,0,0,0,0,1,0,0,38,12,40,1,10,1,0
0.86875,0,0,0,0,1,0,1,1,46,9,7.5,0,10,1,0
0.716666667,0,0,0,0,0,0,1,0,38,9,15,0,10,1,0
0.808333333,0,0,0,0,1,0,1,1,58,12,7.5,1,10,1,1
0.81,1,0,0,1,1,0,0,1,42,9,15,0,10,1,0
0.855,0,0,0,0,1,0,1,1,48,12,15,0,10,0,0
0.86875,0,0,0,1,0,1,0,0,53,9,2.5,0,10,1,0
0.936666667,0,0,0,0,0,0,1,0,52,12,7.5,0,10,1,0
0.835714286,0,0,0,1,0,1,0,0,53,12,2.5,0,10,1,0
0.806666667,0,0,0,0,1,0,1,0,51,9,15,1,10,1,1
0.583333333,0,0,0,1,1,0,1,0,38,9,2.5,0,10,1,0
0.75,1,0,0,1,1,0,0,0,45,12,7.5,1,7.5,1,1
0.916666667,0,0,0,0,1,0,0,0,37,16,7.5,1,4.5,1,0
0.93,0,0,0,1,1,0,0,0,65,6,2.5,1,4.5,1,1
0.85,0,0,0,1,0,0,0,1,40,9,2.5,0,10,0,0
0.65,0,0,1,0,0,0,0,1,40,12,7.5,1,10,0,0
0.683333333,0,0,0,1,0,0,1,1,65,9,7.5,0,10,1,0
0.935,0,0,0,0,1,1,0,0,37,9,7.5,0,10,1,0
0.783333333,0,0,1,1,0,1,0,1,42,9,7.5,0,10,1,0
0.583333333,0,0,1,1,0,0,0,0,38,12,7.5,1,10,1,1
0.86,0,0,0,1,0,1,0,0,50,9,2.5,0,7.5,1,0
0.85,0,0,0,0,1,0,1,0,45,6,7.5,0,7.5,1,0
0.858333333,0,0,1,0,1,0,0,1,40,9,7.5,0,7.5,0,0
0.83,0,0,0,0,1,1,0,1,49,9,7.5,1,10,1,1
0.83,0,0,0,0,1,0,1,0,45,9,7.5,0,7.5,1,0
0.8125,0,0,0,0,1,0,1,0,49,6,7.5,0,7.5,0,1
0.87,0,0,0,1,1,0,0,0,50,6,7.5,0,7.5,1,1
0.875,0,0,0,0,1,0,1,1,35,9,15,0,7.5,1,1
0.86875,0,0,1,0,0,1,0,1,49,9,7.5,1,4.5,1,1
0.7875,0,0,0,0,1,0,1,0,41,9,7.5,0,7.5,1,0
0.8375,0,0,0,0,1,0,1,1,45,9,15,0,10,1,1
0.87,0,0,0,0,1,0,1,0,49,9,7.5,0,7.5,1,1
0.8625,0,0,0,0,1,0,1,1,48,6,7.5,0,7.5,1,1
0.783333333,0,0,1,0,0,1,0,0,42,6,7.5,0,7.5,1,1
0.8375,0,0,0,0,1,0,1,1,46,6,7.5,0,7.5,1,1
0.8375,0,0,0,1,1,0,0,1,50,9,7.5,0,7.5,1,1
0.8375,0,0,0,0,1,1,0,0,40,6,7.5,0,7.5,0,1
0.8625,0,0,0,0,1,1,0,0,50,6,15,0,7.5,0,1
0.8375,0,0,0,0,1,0,1,0,45,6,7.5,1,7.5,1,0
0.932142857,0,0,0,1,0,0,0,1,48,16,2.5,0,7.5,0,0
0.876666667,0,0,0,1,0,1,0,1,31,15,15,0,10,1,0
0.81875,0,0,0,0,0,1,0,1,35,12,2.5,0,4.5,0,0
0.808333333,0,1,0,1,1,1,0,1,55,9,2.5,0,2,1,1
0.65,0,1,0,0,1,0,0,1,41,9,15,1,4.5,1,1
0.721428571,0,0,0,0,0,1,0,1,25,16,2.5,0,10,1,0
0.83125,0,1,0,1,1,0,0,1,35,12,2.5,1,10,1,1
0.88125,0,1,1,1,1,0,0,1,53,9,7.5,1,10,1,1
0.825,0,0,0,1,1,0,0,1,62,6,2.5,0,10,1,1
0.855,0,1,0,1,0,1,0,1,40,12,2.5,0,10,0,0
0.83125,0,1,0,1,1,1,0,1,55,9,2.5,0,10,1,1
0.883333333,1,0,0,0,1,0,0,1,30,15,2.5,0,10,0,1
0.83125,0,0,0,0,1,1,1,1,51,9,2.5,1,10,1,1
0.83125,0,0,0,1,1,0,1,1,49,9,2.5,0,10,0,1
0.83125,0,0,0,1,1,1,0,1,48,9,2.5,0,10,1,1
0.86875,0,0,0,0,1,1,1,1,47,9,2.5,0,10,1,1
0.808333333,0,0,0,1,1,1,1,1,36,12,2.5,0,10,0,0
0.904166667,0,0,0,1,0,0,0,0,38,9,7.5,0,4.5,1,0
0.625,1,0,1,0,1,0,0,1,32,9,7.5,1,2,0,1
0.95625,0,0,1,0,1,0,0,1,33,15,900,1,4.5,1,1
0.952083333,0,0,1,0,1,0,0,1,48,15,15,1,4.5,1,0
0.961666667,0,0,1,0,1,0,0,1,50,16,25,1,7.5,1,0
0.9475,0,0,1,0,1,0,0,1,57,9,7.5,1,4.5,1,0
0.920833333,1,0,0,0,1,1,1,1,31,9,2.5,0,10,1,1
0.895,1,0,1,0,1,0,0,1,35,16,2.5,1,4.5,0,0
0.872222222,0,0,0,0,0,1,1,1,60,9,15,1,10,0,1
0.8875,0,0,0,0,1,1,0,0,45,9,7.5,0,7.5,1,1
0.83125,0,0,0,1,1,0,0,1,48,9,2.5,0,10,1,1
0.8375,0,0,0,0,1,0,1,0,48,12,7.5,0,7.5,1,1
0.8375,0,0,0,0,1,0,1,1,46,6,7.5,0,7.5,1,1
0.83125,0,0,0,1,1,0,0,1,47,9,2.5,0,10,1,1
0.816666667,0,0,0,0,1,0,1,0,52,6,7.5,0,7.5,0,1
0.83125,0,0,0,1,1,1,0,1,44,9,2.5,0,10,1,1
0.816666667,0,0,0,0,1,0,1,1,55,6,7.5,1,7.5,1,1
0.745,0,0,0,0,0,1,1,0,35,16,7.5,0,7.5,0,0
0.892857143,0,1,0,1,0,1,0,1,47,9,2.5,0,10,1,1
0.83125,0,0,0,1,1,1,0,1,45,9,2.5,0,10,1,1
0.853846154,0,0,0,1,0,0,1,1,57,6,2.5,1,10,0,1
0.83125,0,0,0,1,1,1,0,1,48,9,2.5,0,10,1,1
0.783333333,0,0,0,0,0,1,1,1,55,6,7.5,1,7.5,0,1
0.823076923,1,0,0,0,0,1,1,1,40,12,2.5,0,7.5,0,0
0.8375,0,0,0,0,0,1,1,1,30,9,7.5,0,7.5,1,1
0.83125,0,0,0,0,0,1,0,1,40,9,7.5,0,10,1,0
0.845,0,0,0,0,0,1,0,1,32,9,15,0,10,1,0
0.8625,0,0,0,0,1,1,0,1,45,9,7.5,0,10,0,1
0.816666667,0,0,0,0,1,1,0,0,55,9,7.5,0,7.5,1,1
0.739583333,1,0,0,0,1,1,0,1,45,9,7.5,0,2,0,1
0.783333333,0,0,0,0,1,0,1,0,55,6,7.5,1,7.5,0,1
0.8375,0,0,0,0,1,0,1,1,55,6,7.5,1,7.5,0,1
0.916666667,0,0,0,0,0,1,0,1,25,16,15,1,2,0,0
0.883333333,0,0,0,0,1,0,0,1,30,19,2.5,1,2,0,0
0.583333333,0,0,0,1,0,0,0,1,26,15,15,1,4.5,1,1
0.8375,0,0,0,0,1,0,1,0,45,6,7.5,1,7.5,1,1
0.783333333,0,0,0,0,1,0,1,0,56,9,7.5,1,7.5,0,1
0.921428571,0,0,0,1,0,0,0,1,56,9,7.5,1,4.5,1,0
0.75,0,0,0,1,0,0,0,1,50,9,7.5,0,7.5,1,0
0.8625,1,0,0,0,0,0,0,1,35,15,15,1,2,0,0
