Gender,Age,Edu,Area,Training,T-Age,Identity,Farm Cooperative,FP
1,40,12,7.5,0,10,0,1,1
0,40,9,2.5,0,10,1,0,1
0,58,12,2.5,0,10,1,0,1
1,59,12,2.5,0,10,1,0,1
0,65,9,2.5,0,10,1,0,1
0,52,12,7.5,1,10,0,0,1
1,40,12,7.5,0,10,1,1,1
0,38,9,7.5,0,10,1,0,1
0,55,12,7.5,0,10,0,0,1
1,54,9,7.5,0,10,0,0,1
0,37,9,2.5,1,10,1,0,1
0,55,15,2.5,0,10,1,0,0
0,59,12,2.5,1,10,0,1,1
0,56,9,7.5,0,10,1,0,1
1,26,9,25,1,4.5,0,1,0
0,56,9,7.5,0,10,1,0,1
0,40,9,7.5,0,10,1,1,1
0,36,9,2.5,1,10,1,0,1
0,36,6,7.5,0,10,1,0,0
0,43,9,7.5,0,10,1,0,1
0,38,9,15,0,10,0,0,1
1,39,12,15,1,10,1,1,0
1,27,9,75,1,10,1,0,1
0,39,9,7.5,0,10,0,0,0
1,57,12,2.5,0,10,1,0,1
1,50,6,350,1,4.5,1,1,0
1,35,9,7.5,0,7.5,1,0,1
0,40,6,7.5,0,7.5,0,0,1
0,34,9,7.5,1,10,1,0,1
0,38,12,40,1,10,1,0,1
1,46,9,7.5,0,10,1,0,1
0,38,9,15,0,10,1,0,1
1,58,12,7.5,1,10,1,1,0
1,42,9,15,0,10,1,0,1
1,48,12,15,0,10,0,0,0
0,53,9,2.5,0,10,1,0,1
0,52,12,7.5,0,10,1,0,0
0,53,12,2.5,0,10,1,0,1
0,51,9,15,1,10,1,1,0
0,38,9,2.5,0,10,1,0,1
0,45,12,7.5,1,7.5,1,1,1
0,37,16,7.5,1,4.5,1,0,1
0,65,6,2.5,1,4.5,1,1,1
1,40,9,2.5,0,10,0,0,0
1,40,12,7.5,1,10,0,0,0
1,65,9,7.5,0,10,1,0,1
0,37,9,7.5,0,10,1,0,1
1,42,9,7.5,0,10,1,0,1
0,38,12,7.5,1,10,1,1,0
0,50,9,2.5,0,7.5,1,0,1
