Rootstock,Seedlings_Treatment,Gross_Margin,Diease ,Pest,Pesticide_Usage ,Fertilization_Usage
1,0,0.835714286,3,4,7,2
0,0,0.883333333,5,2,8,3
0,0,0.75,4,3,8,3
0,0,0.755,4,3,8,3
0,0,0.81875,3,3,8,3
0,0,0.745,3,2,15,10
0,0,0.896666667,2,2,8,3
0,0,0.845,2,2,8,3
0,0,0.755,2,2,10,10
1,0,0.745,2,2,15,10
0,0,0.90625,2,1,8,3
1,0,0.375,2,2,8,3
0,0,0.745,2,2,10,10
0,0,0.745,2,2,12,12
1,1,0.764285714,0,2,5,5
0,0,0.745,2,2,13,10
0,0,0.65,1,2,8,3
0,0,0.09375,2,1,7,2
0,0,0.583333333,4,2,7,3
0,0,0.875,2,2,8,3
0,0,0.325,4,5,8,3
0,0,0.55,1,1,8,3
0,0,0.83,0,0,7,3
0,0,0.475,3,2,8,3
1,0,0.375,1,2,8,3
0,1,0.525,0,1,10,3
1,0,0.677777778,3,3,7,3
1,0,0.6625,2,2,7,4
1,0,0.935,1,1,8,2
0,0,0.84375,4,2,8,2
0,0,0.86875,2,2,9,3
0,0,0.716666667,8,7,7,2
0,0,0.808333333,3,2,8,3
0,0,0.81,5,4,9,4
0,0,0.855,3,2,9,6
0,0,0.86875,3,3,8,3
0,0,0.936666667,4,5,7,3
0,0,0.835714286,3,3,8,3
0,0,0.806666667,4,2,8,6
1,0,0.583333333,4,3,8,2
1,0,0.75,4,3,10,5
1,0,0.916666667,4,2,7,7
1,0,0.93,3,2,7,6
0,0,0.85,8,2,8,3
0,0,0.65,8,7,6,10
0,0,0.683333333,4,4,8,4
0,0,0.935,6,5,8,4
1,0,0.783333333,8,5,8,3
0,0,0.583333333,5,3,9,4
1,0,0.86,3,2,8,3
1,0,0.85,2,2,7,3
1,0,0.858333333,2,2,4,3
1,0,0.83,3,3,7,3
1,0,0.83,2,2,8,4
1,0,0.8125,2,2,3,3
1,0,0.87,2,2,3,3
1,0,0.875,2,2,3,3
0,0,0.86875,1,1,7,3
1,0,0.7875,2,2,3,3
1,0,0.8375,2,2,7,3
1,0,0.87,2,2,3,3
1,0,0.8625,2,2,8,3
1,0,0.783333333,2,2,3,3
1,0,0.8375,2,2,7,7
1,0,0.8375,2,2,3,4
1,0,0.8375,2,2,3,3
1,0,0.8625,1,2,7,7
1,0,0.8375,2,2,3,3
0,0,0.932142857,2,1,4,2
0,0,0.876666667,4,2,5,3
0,0,0.81875,1,2,8,4
0,0,0.808333333,6,5,8,4
0,0,0.65,3,3,7,5
0,0,0.721428571,1,0,5,2
0,0,0.83125,3,2,5,3
0,0,0.88125,4,2,6,2
0,0,0.825,3,3,6,4
0,0,0.855,2,2,6,3
0,0,0.83125,3,3,5,3
0,0,0.883333333,2,2,5,2
0,0,0.83125,2,2,5,3
0,0,0.83125,2,3,3,3
0,0,0.83125,2,3,3,3
1,0,0.86875,1,2,3,3
0,0,0.808333333,2,4,5,2
0,0,0.904166667,1,1,6,2
0,0,0.625,3,3,8,2
1,1,0.95625,4,3,8,3
1,1,0.952083333,4,3,9,3
1,1,0.961666667,5,3,9,3
1,1,0.9475,4,2,9,3
0,0,0.920833333,3,3,5,3
0,0,0.895,2,6,6,3
0,0,0.872222222,2,2,6,2
0,0,0.8875,2,2,8,3
0,0,0.83125,1,2,3,3
0,0,0.8375,2,2,7,3
1,0,0.8375,2,2,8,3
0,0,0.83125,1,2,3,3
1,0,0.816666667,2,2,7,3
0,0,0.83125,1,2,3,3
1,0,0.816666667,2,2,7,3
1,1,0.745,3,4,8,2
0,0,0.892857143,5,5,5,2
0,0,0.83125,1,2,3,3
0,0,0.853846154,2,2,5,3
0,0,0.83125,1,2,3,3
1,0,0.783333333,2,2,7,7
0,0,0.823076923,1,1,6,4
1,0,0.8375,2,2,7,7
0,0,0.83125,3,2,4,3
0,0,0.845,4,3,5,2
1,0,0.8625,2,2,8,3
1,0,0.816666667,2,2,7,3
0,0,0.739583333,3,2,7,3
1,0,0.783333333,2,2,7,3
1,0,0.8375,2,2,7,3
1,1,0.916666667,2,2,9,3
1,1,0.883333333,2,1,8,3
1,0,0.583333333,0,3,8,4
1,0,0.8375,2,3,7,7
1,0,0.783333333,2,2,7,7
1,1,0.921428571,1,1,3,3
0,1,0.75,1,1,5,3
0,0,0.8625,1,1,4,1
