Country,Year,Value
China,1990,2642.1
China,1991,2739
China,1992,3426.6
China,1993,4032.2
China,1994,4138.2
China,1995,4744.9
China,1996,5709.7
China,1997,6067.4
China,1998,7432
China,1999,8529.1
China,2000,9064
China,2001,9687.2
China,2002,9927.8
China,2003,11101.4
China,2004,12614.8
China,2005,12701.2
China,2006,13722.7
China,2007,14200.1
China,2008,14980.3
China,2009,15459.3
China,2010,15543.2
China,2011,16526.6
China,2012,17249.5
China,2013,17463.6
China,2014,18009.7
China,2015,16706.4
China,2016,19031.7
China,2017,21257.5
China,2018,20237.1
China,2019,20783.2
China,2020,21184.2
Germany,1990,26327.2
Germany,1991,19918.4
Germany,1992,35148
Germany,1993,22510.2
Germany,1994,24162.1
Germany,1995,15880.9
Germany,1996,24123.6
Germany,1997,21357.5
Germany,1998,27296.1
Germany,1999,28941.3
Germany,2000,25094.4
Germany,2001,25414.3
Germany,2002,26905.8
Germany,2003,26249.3
Germany,2004,30290
Germany,2005,27564.3
Germany,2006,29153.7
Germany,2007,33732.7
Germany,2008,32924.4
Germany,2009,33655.4
Germany,2010,26240.9
Germany,2011,28424.7
Germany,2012,30733.4
Germany,2013,25398.4
Germany,2014,35464.8
Germany,2015,30994.1
Germany,2016,32964.6
Germany,2017,17594
Germany,2018,35271.3
Germany,2019,29177.5
Germany,2020,30115.4
Italy,1990,26278.9
Italy,1991,23601.7
Italy,1992,31650.4
Italy,1993,29115.9
Italy,1994,31340.9
Italy,1995,28905.7
Italy,1996,28951.3
Italy,1997,30260.8
Italy,1998,33367.6
Italy,1999,36852.8
Italy,2000,35698.2
Italy,2001,36696.9
Italy,2002,36333.3
Italy,2003,34319.7
Italy,2004,37116.9
Italy,2005,38364.6
Italy,2006,37292.1
Italy,2007,39810.6
Italy,2008,37459.3
Italy,2009,39792.2
Italy,2010,38077.8
Italy,2011,42405.9
Italy,2012,36414.9
Italy,2013,40108.6
Italy,2014,45185.8
Italy,2015,45204.8
Italy,2016,46529.9
Italy,2017,35854
Italy,2018,42949
Italy,2019,41885.3
Italy,2020,44845
New Zealand,1990,31862.3
New Zealand,1991,33539.3
New Zealand,1992,39689.6
New Zealand,1993,33933.7
New Zealand,1994,31508.9
New Zealand,1995,33111.3
New Zealand,1996,34705.1
New Zealand,1997,35886.1
New Zealand,1998,34866.7
New Zealand,1999,37586.2
New Zealand,2000,43928
New Zealand,2001,36680.3
New Zealand,2002,45287.4
New Zealand,2003,41250.4
New Zealand,2004,49936
New Zealand,2005,47714.4
New Zealand,2006,36419.8
New Zealand,2007,45528.3
New Zealand,2008,50498.2
New Zealand,2009,46424
New Zealand,2010,47351.2
New Zealand,2011,48851.4
New Zealand,2012,49418.5
New Zealand,2013,49997.5
New Zealand,2014,58215.5
New Zealand,2015,54005.4
New Zealand,2016,54374.7
New Zealand,2017,54556
New Zealand,2018,56153.5
New Zealand,2019,57133.5
New Zealand,2020,57417.3
USA,1990,22860.1
USA,1991,24220.3
USA,1992,26031.7
USA,1993,26066.8
USA,1994,27865.9
USA,1995,25630.8
USA,1996,24888.4
USA,1997,24727.9
USA,1998,27997.6
USA,1999,26236
USA,2000,27348.3
USA,2001,25804.5
USA,2002,24199.6
USA,2003,25321.5
USA,2004,30562.1
USA,2005,29358.7
USA,2006,30585.7
USA,2007,29034.4
USA,2008,30924.7
USA,2009,31483
USA,2010,30908.7
USA,2011,31984.2
USA,2012,30993.3
USA,2013,36213.5
USA,2014,41617.1
USA,2015,34776.7
USA,2016,39185.6
USA,2017,39456.9
USA,2018,39496.5
USA,2019,42149.9
USA,2020,38916.6
